home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,Attendance,Venue,Officials,Round,Date,Score,Referee,Notes,Host,Year,home_goal,away_goal,home_goal_long,away_goal_long,home_own_goal,away_own_goal,home_penalty_goal,away_penalty_goal,home_penalty_miss_long,away_penalty_miss_long,home_penalty_shootout_goal_long,away_penalty_shootout_goal_long,home_penalty_shootout_miss_long,away_penalty_shootout_miss_long,home_red_card,away_red_card,home_yellow_red_card,away_yellow_red_card,home_yellow_card_long,away_yellow_card_long,home_substitute_in_long,away_substitute_in_long
Japan,Croatia,1,1.2,1,1,1.4,3,Hajime Moriyasu,Maya Yoshida,Zlatko Dalić,Luka Modrić,42523,"Al Janoub Stadium, Al Wakrah",Ismail Elfath (Referee) · Corey Parker (AR1) · Kyle Atkins (AR2) · Mustapha Ghorbal (4th) · Nicolás Gallo (VAR),Round of 16,2022-12-05,(1) 1–1 (3),Ismail Elfath,Croatia won on penalty kicks following extra time,Qatar,2022,Daizen Maeda · 43,Ivan Perišić · 55,['43&rsquor;|1:0|Daizen Maeda|Assist:|Maya Yoshida'],['55&rsquor;|1:1|Ivan Perišić|Assist:|Dejan Lovren'],,,,,,,['5|1:2|Takuma Asano'],"['2|0:1|Nikola Vlašić', '4|0:2|Marcelo Brozović', '8|1:3|Mario Pašalić']","['1|0:0|Takumi Minamino', '3|0:1|Kaoru Mitoma', '7|1:2|Maya Yoshida']",['6|1:2|Marko Livaja'],,,,,,"['90&rsquor;|1:1|Mateo Kovačić', '116&rsquor;|1:1|Borna Barišić']","['64&rsquor;|1:1|Takuma Asano|for Daizen Maeda', '64&rsquor;|1:1|Kaoru Mitoma|for Yuto Nagatomo', '75&rsquor;|1:1|Hiroki Sakai|for Daichi Kamada', '87&rsquor;|1:1|Takumi Minamino|for Ritsu Doan', '106&rsquor;|1:1|Ao Tanaka|for Hidemasa Morita']","['62&rsquor;|1:1|Ante Budimir|for Bruno Petković', '68&rsquor;|1:1|Mario Pašalić|for Andrej Kramarić', '99&rsquor;|1:1|Nikola Vlašić|for Mateo Kovačić', '99&rsquor;|1:1|Lovro Majer|for Luka Modrić', '106&rsquor;|1:1|Marko Livaja|for Ante Budimir', '106&rsquor;|1:1|Mislav Oršić|for Ivan Perišić']"
Brazil,Korea Republic,4,3.6,,1,0.5,,Tite,Thiago Silva,Paulo Bento,Son Heung-min,43847,"Stadium 974, Doha",Clément Turpin (Referee) · Nicolas Danos (AR1) · Cyril Gringore (AR2) · Slavko Vinčič (4th) · Jérôme Brisard (VAR),Round of 16,2022-12-05,4–1,Clément Turpin,,Qatar,2022,Vinicius Júnior · 7|Richarlison · 29|Lucas Paquetá · 36,Paik Seung-ho · 76,"['7&rsquor;|1:0|Vinicius Júnior|Assist:|Raphinha', '29&rsquor;|3:0|Richarlison|Assist:|Thiago Silva', '36&rsquor;|4:0|Lucas Paquetá|Assist:|Vinicius Júnior']",['76&rsquor;|4:1|Paik Seung-ho'],,,Neymar (P) · 11,,,,,,,,,,,,,['44&rsquor;|4:0|Jung Woo-young'],"['63&rsquor;|4:0|Dani Alves|for Éder Militão', '72&rsquor;|4:0|Gleison Bremer|for Danilo', '72&rsquor;|4:0|Martinelli|for Vinicius Júnior', '80&rsquor;|4:1|Wéverton|for Alisson', '81&rsquor;|4:1|Rodrygo|for Neymar']","['46&rsquor;|4:0|Hong Chul|for Kim Jin-su', '46&rsquor;|4:0|Son Jun-ho|for Jung Woo-young', '65&rsquor;|4:0|Paik Seung-ho|for Hwang In-beom', '74&rsquor;|4:0|Lee Kangin|for Lee Jae-sung', '80&rsquor;|4:1|Hwang Ui-jo|for Cho Guesung']"
France,Poland,3,1.4,,1,1.7,,Didier Deschamps,Hugo Lloris,Czesław Michniewicz,Robert Lewandowski,40989,"Al Thumama Stadium, ath-Thumāma",Jesús Valenzuela (Referee) · Jorge Urrego (AR1) · Tulio Moreno (AR2) · Kevin Ortega (4th) · Juan Soto (VAR),Round of 16,2022-12-04,3–1,Jesús Valenzuela,,Qatar,2022,Olivier Giroud · 44|Kylian Mbappé · 74|Kylian Mbappé · 90+1,,"['44&rsquor;|1:0|Olivier Giroud|Assist:|Kylian Mbappé', '74&rsquor;|2:0|Kylian Mbappé|Assist:|Ousmane Dembélé', '90+1&rsquor;|3:0|Kylian Mbappé|Assist:|Marcus Thuram']",,,,,Robert Lewandowski (P) · 90+9,,,,,,,,,,,['32&rsquor;|0:0|Aurélien Tchouaméni'],"['47&rsquor;|1:0|Bartosz Bereszyński', '88&rsquor;|2:0|Matty Cash']","['66&rsquor;|1:0|Youssouf Fofana|for Aurélien Tchouaméni', '76&rsquor;|2:0|Kingsley Coman|for Ousmane Dembélé', '76&rsquor;|2:0|Marcus Thuram|for Olivier Giroud', '90+2&rsquor;|3:0|Axel Disasi|for Jules Koundé']","['64&rsquor;|1:0|Arkadiusz Milik|for Sebastian Szymański', '71&rsquor;|1:0|Nicola Zalewski|for Jakub Kamiński', '71&rsquor;|1:0|Krystian Bielik|for Grzegorz Krychowiak', '86&rsquor;|2:0|Jan Bednarek|for Jakub Kiwior', '87&rsquor;|2:0|Kamil Grosicki|for Przemysław Frankowski']"
England,Senegal,3,1.0,,0,0.8,,Gareth Southgate,Harry Kane,Aliou Cissé,Kalidou Koulibaly,65985,"Al Bayt Stadium, Al Khor",Iván Barton (Referee) · David Morán (AR1) · Kathryn Nesbitt (AR2) · Said Martínez (4th) · Drew Fischer (VAR),Round of 16,2022-12-04,3–0,Iván Barton,,Qatar,2022,Jordan Henderson · 39|Harry Kane · 45+3|Bukayo Saka · 57,,"['39&rsquor;|1:0|Jordan Henderson|Assist:|Jude Bellingham', '45+3&rsquor;|2:0|Harry Kane|Assist:|Phil Foden', '57&rsquor;|3:0|Bukayo Saka|Assist:|Phil Foden']",,,,,,,,,,,,,,,,,['76&rsquor;|3:0|Kalidou Koulibaly'],"['65&rsquor;|3:0|Jack Grealish|for Phil Foden', '65&rsquor;|3:0|Marcus Rashford|for Bukayo Saka', '76&rsquor;|3:0|Eric Dier|for John Stones', '77&rsquor;|3:0|Mason Mount|for Jude Bellingham', '82&rsquor;|3:0|Kalvin Phillips|for Jordan Henderson']","['46&rsquor;|2:0|Pape Matar Sarr|for Krépin Diatta', '46&rsquor;|2:0|Pape Gueye|for Pathé Ciss', '46&rsquor;|2:0|Bamba Dieng|for Iliman Ndiaye', '72&rsquor;|3:0|Famara Diedhiou|for Boulaye Dia', '84&rsquor;|3:0|Fodé Ballo-Touré|for Ismail Jakobs']"
Netherlands,United States,3,1.7,,1,1.5,,Louis van Gaal,Virgil van Dijk,Gregg Berhalter,Tyler Adams,44846,"Khalifa International Stadium, Doha",Wilton Sampaio (Referee) · Bruno Boschilia (AR1) · Bruno Pires (AR2) · Andrés Matonte (4th) · Nicolás Gallo (VAR),Round of 16,2022-12-03,3–1,Wilton Sampaio,,Qatar,2022,Memphis · 10|Daley Blind · 45+1|Denzel Dumfries · 81,Haji Wright · 76,"['10&rsquor;|1:0|Memphis|Assist:|Denzel Dumfries', '45+1&rsquor;|2:0|Daley Blind|Assist:|Denzel Dumfries', '81&rsquor;|3:1|Denzel Dumfries|Assist:|Daley Blind']",['76&rsquor;|2:1|Haji Wright|Assist:|Christian Pulisic'],,,,,,,,,,,,,,,"['60&rsquor;|2:0|Teun Koopmeiners', '87&rsquor;|3:1|Frenkie de Jong']",,"['46&rsquor;|2:0|Teun Koopmeiners|for Davy Klaassen', '46&rsquor;|2:0|Steven Bergwijn|for Marten de Roon', '82&rsquor;|3:1|Xavi Simons|for Memphis', '90+3&rsquor;|3:1|Matthijs de Ligt|for Nathan Aké', '90+4&rsquor;|3:1|Wout Weghorst|for Cody Gakpo']","['46&rsquor;|2:0|Gio Reyna|for Jesús Ferreira', '67&rsquor;|2:0|Brenden Aaronson|for Timothy Weah', '67&rsquor;|2:0|Haji Wright|for Weston McKennie', '75&rsquor;|2:0|DeAndre Yedlin|for Sergiño Dest', '90+2&rsquor;|3:1|Jordan Morris|for Antonee Robinson']"
Argentina,Australia,2,1.6,,1,0.6,,Lionel Scaloni,Lionel Messi,Graham Arnold,Mathew Ryan,45032,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Szymon Marciniak (Referee) · Paweł Sokolnicki (AR1) · Tomasz Listkiewicz (AR2) · Mario Escobar (4th) · Tomasz Kwiatkowski (VAR),Round of 16,2022-12-03,2–1,Szymon Marciniak,,Qatar,2022,Lionel Messi · 35|Julián Álvarez · 57,,"['35&rsquor;|1:0|Lionel Messi|Assist:|Nicolás Otamendi', '57&rsquor;|2:0|Julián Álvarez']",,,Enzo Fernández (OG) · 77,,,,,,,,,,,,,,"['15&rsquor;|0:0|Jackson Irvine', '38&rsquor;|1:0|Miloš Degenek']","['50&rsquor;|1:0|Lisandro Martínez|for Papu Gómez', '71&rsquor;|2:0|Lautaro Martínez|for Julián Álvarez', '72&rsquor;|2:0|Nicolás Tagliafico|for Marcos Acuña', '80&rsquor;|2:1|Exequiel Palacios|for Nahuel Molina', '80&rsquor;|2:1|Gonzalo Montiel|for Alexis Mac Allister']","['58&rsquor;|2:0|Craig Goodwin|for Riley McGree', '58&rsquor;|2:0|Ajdin Hrustic|for Keanu Baccus', '72&rsquor;|2:0|Jamie Maclaren|for Mitchell Duke', '72&rsquor;|2:0|Fran Karačić|for Miloš Degenek', '72&rsquor;|2:0|Garang Kuol|for Mathew Leckie']"
Korea Republic,Portugal,2,1.7,,1,1.3,,Sérgio Costa,Son Heung-min,Fernando Santos,Cristiano Ronaldo,44097,"Education City Stadium, Doha",Facundo Tello (Referee) · Ezequiel Brailovsky (AR1) · Gabriel Chade (AR2) · Maguette Ndiaye (4th) · Nicolás Gallo (VAR),Group stage,2022-12-02,2–1,Facundo Tello,,Qatar,2022,Kim Young-gwon · 27|Hwang Hee-chan · 90+1,Ricardo Horta · 5,"['27&rsquor;|1:1|Kim Young-gwon', '90+1&rsquor;|2:1|Hwang Hee-chan|Assist:|Son Heung-min']",['5&rsquor;|0:1|Ricardo Horta|Assist:|Diogo Dalot'],,,,,,,,,,,,,,,"['36&rsquor;|1:1|Lee Kangin', '90+2&rsquor;|2:1|Hwang Hee-chan']",,"['66&rsquor;|1:1|Hwang Hee-chan|for Lee Jae-sung', '81&rsquor;|1:1|Son Jun-ho|for Kim Young-gwon', '81&rsquor;|1:1|Hwang Ui-jo|for Lee Kangin', '90+3&rsquor;|2:1|Cho Yumin|for Cho Guesung']","['65&rsquor;|1:1|João Palhinha|for Matheus Nunes', '65&rsquor;|1:1|Rafael Leão|for Rúben Neves', '65&rsquor;|1:1|André Silva|for Cristiano Ronaldo', '82&rsquor;|1:1|Bernardo Silva|for João Mário', '82&rsquor;|1:1|William Carvalho|for Vitinha']"
Ghana,Uruguay,0,1.6,,2,1.8,,Otto Addo,André Ayew,Diego Alonso,Luis Suárez,43443,"Al Janoub Stadium, Al Wakrah",Daniel Siebert (Referee) · Jan Seidel (AR1) · Rafael Foltyn (AR2) · Yoshimi Yamashita (4th) · Bastian Dankert (VAR),Group stage,2022-12-02,0–2,Daniel Siebert,,Qatar,2022,,Giorgian De Arrascaeta · 26|Giorgian De Arrascaeta · 32,,"['26&rsquor;|0:1|Giorgian De Arrascaeta', '32&rsquor;|0:2|Giorgian De Arrascaeta|Assist:|Luis Suárez']",,,,,['21&rsquor;|0:0|André Ayew|Penalty saved by Sergio Rochet'],,,,,,,,,,"['86&rsquor;|0:2|Kamaldeen Sulemana', '90+9&rsquor;|0:2|Alidu Seidu']","['19&rsquor;|0:0|Darwin Núñez', '60&rsquor;|0:2|Luis Suárez', '87&rsquor;|0:2|Sebastián Coates', '90+10&rsquor;|0:2|Edinson Cavani', '90+10&rsquor;|0:2|José María Giménez']","['46&rsquor;|0:2|Kamaldeen Sulemana|for Jordan Ayew', '46&rsquor;|0:2|Osman Bukari|for André Ayew', '72&rsquor;|0:2|Antoine Semenyo|for Daniel Amartey', '72&rsquor;|0:2|Daniel Kyereh|for Salis Abdul Samed', '90+8&rsquor;|0:2|Abdul Fatawu Issahaku|for Kudus Mohammed']","['34&rsquor;|0:2|Matías Vecino|for Rodrigo Bentancur', '66&rsquor;|0:2|Edinson Cavani|for Luis Suárez', '66&rsquor;|0:2|Nicolás De La Cruz|for Facundo Pellistri', '80&rsquor;|0:2|Maxi Gómez|for Darwin Núñez', '80&rsquor;|0:2|Agustín Canobbio|for Giorgian De Arrascaeta']"
Cameroon,Brazil,1,0.5,,0,2.5,,Rigobert Song,Vincent Aboubakar,Tite,Dani Alves,85986,"Lusail Iconic Stadium, Lusail",Ismail Elfath (Referee) · Kyle Atkins (AR1) · Corey Parker (AR2) · Ma Ning (4th) · Alejandro Hernández (VAR),Group stage,2022-12-02,1–0,Ismail Elfath,,Qatar,2022,Vincent Aboubakar · 90+2,,['90+2&rsquor;|1:0|Vincent Aboubakar|Assist:|Andre-Frank Zambo Anguissa'],,,,,,,,,,,,,,Vincent Aboubakar · 90+3,,"['6&rsquor;|0:0|Nouhou Tolo', '28&rsquor;|0:0|Pierre Kunde', '33&rsquor;|0:0|Collins Fai', '81&rsquor;|0:0|Vincent Aboubakar']","['7&rsquor;|0:0|Éder Militão', '85&rsquor;|0:0|Bruno Guimarães']","['64&rsquor;|0:0|Karl Toko Ekambi|for Bryan Mbeumo', '66&rsquor;|0:0|Olivier Ntcham|for Pierre Kunde', '86&rsquor;|0:0|Jerome Ngom Mbekeli|for Moumi Ngamaleu']","['55&rsquor;|0:0|Everton Ribeiro|for Rodrygo', '55&rsquor;|0:0|Marquinhos|for Alex Telles', '55&rsquor;|0:0|Bruno Guimarães|for Fred', '64&rsquor;|0:0|Pedro|for Gabriel Jesus', '79&rsquor;|0:0|Raphinha|for Antony']"
Serbia,Switzerland,2,1.3,,3,2.7,,Dragan Stojković,Dušan Tadić,Murat Yakin,Granit Xhaka,41378,"Stadium 974, Doha",Fernando Rapallini (Referee) · Juan Pablo Belatti (AR1) · Diego Bonfá (AR2) · Kevin Ortega (4th) · Mauro Vigliano (VAR),Group stage,2022-12-02,2–3,Fernando Rapallini,,Qatar,2022,Aleksandar Mitrović · 26|Dušan Vlahović · 35,Xherdan Shaqiri · 20|Breel Embolo · 44|Remo Freuler · 48,"['26&rsquor;|1:1|Aleksandar Mitrović|Assist:|Dušan Tadić', '35&rsquor;|2:1|Dušan Vlahović']","['20&rsquor;|0:1|Xherdan Shaqiri|Assist:|Djibril Sow', '44&rsquor;|2:2|Breel Embolo|Assist:|Silvan Widmer', '48&rsquor;|2:3|Remo Freuler|Assist:|Ruben Vargas']",,,,,,,,,,,,,,,"['47&rsquor;|2:2|Sergej Milinković-Savić', '56&rsquor;|2:3|Strahinja Pavlović', '66&rsquor;|2:3|Predrag Rajković', '81&rsquor;|2:3|Nemanja Gudelj', '82&rsquor;|2:3|Aleksandar Mitrović', '90+5&rsquor;|2:3|Nikola Milenković', '90+10&rsquor;|2:3|Saša Lukić']","['15&rsquor;|0:0|Silvan Widmer', '34&rsquor;|1:1|Ruben Vargas', '90+5&rsquor;|2:3|Granit Xhaka', '90+9&rsquor;|2:3|Fabian Schär']","['55&rsquor;|2:3|Nemanja Gudelj|for Miloš Veljković', '55&rsquor;|2:3|Luka Jović|for Dušan Vlahović', '67&rsquor;|2:3|Nemanja Maksimović|for Sergej Milinković-Savić', '78&rsquor;|2:3|Filip Đuričić|for Dušan Tadić', '78&rsquor;|2:3|Nemanja Radonjić|for Andrija Živković']","['68&rsquor;|2:3|Edimilson Fernandes|for Djibril Sow', '69&rsquor;|2:3|Denis Zakaria|for Xherdan Shaqiri', '83&rsquor;|2:3|Christian Fassnacht|for Ruben Vargas', '90+6&rsquor;|2:3|Noah Okafor|for Breel Embolo']"
Canada,Morocco,1,1.4,,2,0.5,,John Herdman,Milan Borjan,Hoalid Regragui,Romain Saïss,43102,"Al Thumama Stadium, ath-Thumāma",Raphael Claus (Referee) · Rodrigo Correa (AR1) · Danilo Manis (AR2) · Yoshimi Yamashita (4th) · Julio Bascuñán (VAR),Group stage,2022-12-01,1–2,Raphael Claus,,Qatar,2022,,Hakim Ziyech · 4|Youssef En-Nesyri · 23,,"['4&rsquor;|0:1|Hakim Ziyech', '23&rsquor;|0:2|Youssef En-Nesyri|Assist:|Achraf Hakimi']",Nayef Aguerd (OG) · 40,,,,,,,,,,,,,,"['7&rsquor;|0:1|Junior Hoilett', '26&rsquor;|0:2|Jonathan Osorio', '45+2&rsquor;|1:2|Sam Adekugbe', '84&rsquor;|1:2|Steven Vitória']",,"['60&rsquor;|1:2|Atiba Hutchinson|for Mark-Anthony Kaye', '60&rsquor;|1:2|Ismaël Koné|for Sam Adekugbe', '60&rsquor;|1:2|Jonathan David|for Cyle Larin', '65&rsquor;|1:2|Richie Laryea|for Jonathan Osorio', '76&rsquor;|1:2|David Wotherspoon|for Junior Hoilett']","['65&rsquor;|1:2|Selim Amallah|for Abdelhamid Sabiri', '65&rsquor;|1:2|Zakaria Aboukhlal|for Sofiane Boufal', '76&rsquor;|1:2|Abderrazak Hamdallah|for Hakim Ziyech', '77&rsquor;|1:2|Jawad El Yamiq|for Azzedine Ounahi', '85&rsquor;|1:2|Yahya Jabrane|for Achraf Hakimi']"
Croatia,Belgium,0,0.7,,0,3.0,,Zlatko Dalić,Luka Modrić,Roberto Martínez,Kevin De Bruyne,43984,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Anthony Taylor (Referee) · Gary Beswick (AR1) · Adam Nunn (AR2) · István Kovács (4th) · Marco Fritz (VAR),Group stage,2022-12-01,0–0,Anthony Taylor,,Qatar,2022,,,,,,,,,,,,,,,,,,,,['67&rsquor;|0:0|Leander Dendoncker'],"['64&rsquor;|0:0|Bruno Petković|for Marko Livaja', '64&rsquor;|0:0|Mario Pašalić|for Andrej Kramarić', '90+2&rsquor;|0:0|Lovro Majer|for Mateo Kovačić']","['46&rsquor;|0:0|Romelu Lukaku|for Dries Mertens', '59&rsquor;|0:0|Thorgan Hazard|for Leandro Trossard', '72&rsquor;|0:0|Youri Tielemans|for Leander Dendoncker', '72&rsquor;|0:0|Jeremy Doku|for Yannick Carrasco', '87&rsquor;|0:0|Eden Hazard|for Thomas Meunier']"
Costa Rica,Germany,2,1.3,,4,5.7,,Luis Fernando Suárez,Keylor Navas,Hansi Flick,Manuel Neuer,67054,"Al Bayt Stadium, Al Khor",Stéphanie Frappart (Referee) · Neuza Back (AR1) · Karen Díaz (AR2) · Said Martínez (4th) · Drew Fischer (VAR),Group stage,2022-12-01,2–4,Stéphanie Frappart,,Qatar,2022,Yeltsin Tejeda · 58,Serge Gnabry · 10|Kai Havertz · 73|Kai Havertz · 85|Niclas Füllkrug · 90,['58&rsquor;|1:1|Yeltsin Tejeda'],"['10&rsquor;|0:1|Serge Gnabry|Assist:|David Raum', '73&rsquor;|2:2|Kai Havertz|Assist:|Niclas Füllkrug', '85&rsquor;|2:3|Kai Havertz|Assist:|Serge Gnabry', '90&rsquor;|2:4|Niclas Füllkrug|Assist:|Leroy Sané']",Manuel Neuer (OG) · 70,,,,,,,,,,,,,,['77&rsquor;|2:2|Óscar Duarte'],,"['46&rsquor;|0:1|Youstin Salas|for Brandon Aguilera', '74&rsquor;|2:2|Rónald Matarrita|for Johan Venegas', '74&rsquor;|2:2|Jewison Bennette|for Keysher Fuller', '90+3&rsquor;|2:4|Roan Wilson|for Yeltsin Tejeda', '90+3&rsquor;|2:4|Anthony Contreras|for Bryan Oviedo']","['46&rsquor;|0:1|Lukas Klostermann|for Leon Goretzka', '55&rsquor;|0:1|Niclas Füllkrug|for İlkay Gündoğan', '67&rsquor;|1:1|Mario Götze|for David Raum', '67&rsquor;|1:1|Kai Havertz|for Thomas Müller', '90+3&rsquor;|2:4|Matthias Ginter|for Niklas Süle']"
Japan,Spain,2,1.4,,1,1.0,,Hajime Moriyasu,Maya Yoshida,Luis Enrique,Sergio Busquets,44851,"Khalifa International Stadium, Doha",Victor Gomes (Referee) · Zakhele Siwela (AR1) · Souru Phatsoane (AR2) · Salima Mukansanga (4th) · Fernando Guerrero (VAR),Group stage,2022-12-01,2–1,Victor Gomes,,Qatar,2022,Ritsu Doan · 48|Ao Tanaka · 51,Álvaro Morata · 12,"['48&rsquor;|1:1|Ritsu Doan|Assist:|Junya Ito', '51&rsquor;|2:1|Ao Tanaka|Assist:|Kaoru Mitoma']",['12&rsquor;|0:1|Álvaro Morata|Assist:|César Azpilicueta'],,,,,,,,,,,,,,,"['39&rsquor;|0:1|Ko Itakura', '44&rsquor;|0:1|Shogo Taniguchi', '45&rsquor;|0:1|Maya Yoshida']",,"['46&rsquor;|0:1|Ritsu Doan|for Takefusa Kubo', '46&rsquor;|0:1|Kaoru Mitoma|for Yuto Nagatomo', '62&rsquor;|2:1|Takuma Asano|for Daizen Maeda', '69&rsquor;|2:1|Takehiro Tomiyasu|for Daichi Kamada', '87&rsquor;|2:1|Wataru Endo|for Ao Tanaka']","['46&rsquor;|0:1|Dani Carvajal|for César Azpilicueta', '57&rsquor;|2:1|Ferrán Torres|for Nico Williams', '57&rsquor;|2:1|Marco Asensio|for Álvaro Morata', '68&rsquor;|2:1|Ansu Fati|for Gavi', '68&rsquor;|2:1|Jordi Alba|for Alejandro Balde']"
Australia,Denmark,1,0.6,,0,0.6,,Graham Arnold,Mathew Ryan,Kasper Hjulmand,Christian Eriksen,41232,"Al Janoub Stadium, Al Wakrah",Mustapha Ghorbal (Referee) · Mokrane Gourari (AR1) · Abdelhak Etchiali (AR2) · Maguette Ndiaye (4th) · Mauro Vigliano (VAR),Group stage,2022-11-30,1–0,Mustapha Ghorbal,,Qatar,2022,Mathew Leckie · 60,,['60&rsquor;|1:0|Mathew Leckie|Assist:|Riley McGree'],,,,,,,,,,,,,,,,"['4&rsquor;|0:0|Aziz Behich', '57&rsquor;|0:0|Miloš Degenek']",['75&rsquor;|1:0|Robert Skov'],"['46&rsquor;|0:0|Keanu Baccus|for Craig Goodwin', '74&rsquor;|1:0|Bailey Wright|for Riley McGree', '82&rsquor;|1:0|Jamie Maclaren|for Mitchell Duke', '89&rsquor;|1:0|Ajdin Hrustic|for Mathew Leckie']","['46&rsquor;|0:0|Alexander Bah|for Rasmus Nissen', '59&rsquor;|0:0|Kasper Dolberg|for Martin Braithwaite', '59&rsquor;|0:0|Mikkel Damsgaard|for Mathias Jensen', '69&rsquor;|1:0|Robert Skov|for Andreas Skov Olsen', '70&rsquor;|1:0|Andreas Cornelius|for Joakim Mæhle']"
Tunisia,France,1,0.5,,0,0.8,,Jalel Kadri,Wahbi Khazri,Didier Deschamps,Raphaël Varane,43627,"Education City Stadium, Doha",Matt Conger (Referee) · Mark Rule (AR1) · Tevita Makasini (AR2) · Salima Mukansanga (4th) · Abdulla Ali Al Marri (VAR),Group stage,2022-11-30,1–0,Matt Conger,,Qatar,2022,Wahbi Khazri · 58,,['58&rsquor;|1:0|Wahbi Khazri|Assist:|Aïssa Laïdouni'],,,,,,,,,,,,,,,,['28&rsquor;|0:0|Wajdi Kechrida'],,"['60&rsquor;|1:0|Issam Jebali|for Wahbi Khazri', '74&rsquor;|1:0|Ghaylène Chaalali|for Mohamed Ali Ben Romdhane', '83&rsquor;|1:0|Ali Abdi|for Anis Ben Slimane']","['63&rsquor;|1:0|William Saliba|for Raphaël Varane', '63&rsquor;|1:0|Kylian Mbappé|for Kingsley Coman', '63&rsquor;|1:0|Adrien Rabiot|for Jordan Veretout', '73&rsquor;|1:0|Antoine Griezmann|for Youssouf Fofana', '79&rsquor;|1:0|Ousmane Dembélé|for Mattéo Guendouzi']"
Saudi Arabia,Mexico,1,1.1,,2,2.3,,Hervé Renard,Salem Al-Dawsari,Tata Martino,Guillermo Ochoa,84985,"Lusail Iconic Stadium, Lusail",Michael Oliver (Referee) · Stuart Burt (AR1) · Simon Bennett (AR2) · István Kovács (4th) · Massimiliano Irrati (VAR),Group stage,2022-11-30,1–2,Michael Oliver,,Qatar,2022,Salem Al-Dawsari · 90+5,Henry Martín · 47|Luis Chávez · 52,['90+5&rsquor;|1:2|Salem Al-Dawsari|Assist:|Hattan Bahebri'],"['47&rsquor;|0:1|Henry Martín|Assist:|César Montes', '52&rsquor;|0:2|Luis Chávez']",,,,,,,,,,,,,,,"['28&rsquor;|0:0|Saleh Al-Shehri', '34&rsquor;|0:0|Ali Al Hassan', '52&rsquor;|0:1|Hassan Al Tambakti', '81&rsquor;|0:2|Abdullah Madu', '90+1&rsquor;|0:2|Abdulelah Al-Amri', '90+7&rsquor;|1:2|Hattan Bahebri']",['16&rsquor;|0:0|Edson Álvarez'],"['37&rsquor;|0:0|Riyadh Sharahili|for Ali Al-Bulaihi', '46&rsquor;|0:0|Abdullah Madu|for Ali Al Hassan', '62&rsquor;|0:2|Abdulrahman Al-Aboud|for Saleh Al-Shehri', '88&rsquor;|0:2|Hattan Bahebri|for Sultan Al-Ghanam']","['46&rsquor;|0:0|Uriel Antuna|for Alexis Vega', '77&rsquor;|0:2|Raúl Jiménez|for Henry Martín', '77&rsquor;|0:2|Charly Rodríguez|for Orbelín Pineda', '86&rsquor;|0:2|Kevin Álvarez|for Jorge Eduardo Sánchez', '86&rsquor;|0:2|Rogelio Funes Mori|for Edson Álvarez']"
Poland,Argentina,0,0.3,,2,3.5,,Czesław Michniewicz,Robert Lewandowski,Lionel Scaloni,Lionel Messi,44089,"Stadium 974, Doha",Danny Makkelie (Referee) · Hessel Steegstra (AR1) · Jan de Vries (AR2) · Said Martínez (4th) · Pol van Boekel (VAR),Group stage,2022-11-30,0–2,Danny Makkelie,,Qatar,2022,,Alexis Mac Allister · 46|Julián Álvarez · 67,,"['46&rsquor;|0:1|Alexis Mac Allister|Assist:|Nahuel Molina', '67&rsquor;|0:2|Julián Álvarez|Assist:|Enzo Fernández']",,,,,,['39&rsquor;|0:0|Lionel Messi|Penalty saved by Wojciech Szczęsny|—'],,,,,,,,,['78&rsquor;|0:2|Grzegorz Krychowiak'],['49&rsquor;|0:1|Marcos Acuña'],"['46&rsquor;|0:0|Jakub Kamiński|for Przemysław Frankowski', '46&rsquor;|0:0|Michał Skóraś|for Karol Świderski', '62&rsquor;|0:1|Damian Szymański|for Krystian Bielik', '72&rsquor;|0:2|Artur Jędrzejczyk|for Bartosz Bereszyński', '83&rsquor;|0:2|Krzysztof Piątek|for Grzegorz Krychowiak']","['59&rsquor;|0:1|Leandro Paredes|for Ángel Di María', '59&rsquor;|0:1|Nicolás Tagliafico|for Marcos Acuña', '79&rsquor;|0:2|Germán Pezzella|for Enzo Fernández', '79&rsquor;|0:2|Lautaro Martínez|for Julián Álvarez', '84&rsquor;|0:2|Thiago Almada|for Alexis Mac Allister']"
